Blockname,Key,Field
90,-3,-77
Nextscript,,
event_whenflagclicked,,
looks_switchcostumeto,,
motion_pointindirection,,"{'DIRECTION': [1, [8, '90']]}"
motion_gotoxy,,"{'X': [1, [4, '-125']], 'Y': [1, [4, '-34']]}"
procedures_call,,
event_broadcast,,
Nextscript,,
event_whenbroadcastreceived,,
looks_switchcostumeto,,
procedures_call,,
procedures_call,,
event_broadcast,,
Nextscript,,
event_whenbroadcastreceived,,
looks_switchcostumeto,,
sound_playuntildone,,
control_wait,,"{'DURATION': [1, [5, '0.2']]}"
event_broadcast,,
Nextscript,,
event_whenbroadcastreceived,,
sound_playuntildone,,
control_stop,,
event_broadcast,,
Nextscript,,
event_whenbroadcastreceived,,
looks_switchcostumeto,,
Nextscript,,
event_whenbroadcastreceived,,
control_forever,,
motion_ifonedgebounce,,
motion_goto,,
Nextscript,,
event_whenbroadcastreceived,,
control_stop,,
motion_pointindirection,,"{'DIRECTION': [1, [8, '90']]}"
motion_gotoxy,,"{'X': [1, [4, '-3']], 'Y': [1, [4, '-77']]}"
looks_switchcostumeto,,
sound_playuntildone,,
control_wait,,"{'DURATION': [1, [5, '0.9']]}"
event_broadcast,,
