Blockname,Key,Field
90,-197,-144
Nextscript,,
event_whenflagclicked,,
motion_gotoxy,,"{'X': [1, [4, '-197']], 'Y': [1, [4, '-144']]}"
motion_pointindirection,,"{'DIRECTION': [1, [8, '90']]}"
Nextscript,,
event_whenkeypressed,any,
control_if,,
sensing_keypressed,,
sensing_keyoptions,right arrow,
motion_changexby,,"{'DX': [1, [4, '10']]}"
control_if,,
sensing_keypressed,,
sensing_keyoptions,left arrow,
motion_changexby,,"{'DX': [1, [4, '-10']]}"
control_if,,
sensing_keypressed,,
sensing_keyoptions,up arrow,
motion_changeyby,,"{'DY': [1, [4, '10']]}"
control_if,,
sensing_keypressed,,
sensing_keyoptions,down arrow,
motion_changeyby,,"{'DY': [1, [4, '-10']]}"
Nextscript,,
event_whenflagclicked,,
looks_setsizeto,,
control_forever,,
control_if,,
sensing_touchingcolor,,
motion_movesteps,,"{'STEPS': [1, [4, '-10']]}"
control_if,,
sensing_touchingobject,,
looks_say,,
looks_setsizeto,,
Nextscript,,
event_whenflagclicked,,
control_forever,,
control_if,,
sensing_touchingobject,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'Me aplastaste']], 'SECS': [1, [4, '2']]}"
control_stop,,
Nextscript,,
event_whenflagclicked,,
looks_switchbackdropto,,
control_forever,,
control_if,,
sensing_touchingobject,,
looks_switchbackdropto,,
