Blockname,Key,Field
90,-10,15
Nextscript,,
event_whenflagclicked,,
motion_pointindirection,,"{'DIRECTION': [1, [8, 90]]}"
looks_seteffectto,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
event_broadcast,,
control_forever,,
procedures_call,,
procedures_call,,
procedures_call,,
procedures_call,,
control_if,,
operator_equals,,
control_wait_until,,
operator_equals,,
Nextscript,,
event_broadcast,,
control_forever,,
procedures_call,,
procedures_call,,
procedures_call,,
procedures_call,,
control_if,,
operator_equals,,
control_wait_until,,
operator_equals,,
Nextscript,,
event_broadcast,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
control_if_else,,
operator_equals,,
data_setvariableto,,
control_if_else,,
operator_equals,,
sound_play,,
data_setvariableto,,
control_repeat_until,,
operator_not,,
control_if,,
operator_equals,,
event_broadcast,,
sound_play,,
control_if,,
operator_not,,
data_changevariableby,,
control_wait_until,,
operator_not,,
sound_play,,
data_setvariableto,,
data_setvariableto,,
Nextscript,,
event_broadcast,,
sound_play,,
control_if,,
operator_not,,
data_changevariableby,,
control_wait_until,,
operator_not,,
Nextscript,,
event_broadcast,,
sound_play,,
control_if,,
operator_not,,
data_changevariableby,,
control_wait_until,,
operator_not,,
Nextscript,,
event_whenflagclicked,,
control_forever,,
control_if,,
operator_and,,
sound_play,,
data_setvariableto,,
data_setvariableto,,
control_if,,
operator_gt,,
data_setvariableto,,
control_if_else,,
operator_and,,
data_changevariableby,,
data_changevariableby,,
data_changevariableby,,
data_changevariableby,,
